customer_id,payer_name,first_name,last_name,gender,cpf,idade,cep,cidade,estado,endereco,graduado,trabalho,idioma,pessoa_fisica_juridica,email,payer_email,saldo,score_credito,produtos,device_brand,device_model,cor,device_date,os,material,barcode,total,data_pagamento,descrisão_pagamento,marca_carro,moeda,departamento,estoque,credit_card,estoque_industrial,frequencia,pagador,risco_emprestimo,marcas_consumidas,frequencia_transacoes,ativo,beneficiario_governo,estado_saude,bancos_cadastro,status_pagamento,valor_pagamento,tipo_transacao,status_conta,paises_visitados
11,Tersina Benallack,Tersina,Benallack,Female,343-12-8271,77,,Tegalrejo,,3963 Elgar Alley,false,Analyst Programmer,Burmese,pessoa física,tbenallacka@businessinsider.com,tbenallacka@vk.com,2695.73,786,produto3,alcatel,alcatel OT-993,Indigo,2012,Android 4.0,Vinyl,285468792-2,1231.52,11/19/2022,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,Mitsubishi,Rupiah,Movies,"MDU Resources Group, Inc.",5602217142541581,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Seldom,não,baixo,marca2,16,false,false,ruim,bb,recusado,1898.28,empréstimos,ativa,95
12,Hollyanne Aldwick,Hollyanne,Aldwick,Genderqueer,176-27-0604,43,,Shibīn al Qanāţir,,4440 Ronald Regan Alley,true,Desktop Support Technician,Kazakh,pessoa física,haldwickb@foxnews.com,haldwickb@narod.ru,-8985.61,444,produto3,verykool,verykool CD611,Green,2011,Feature phone,Rubber,415790809-0,3343.68,7/5/2021,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,Dodge,Pound,Shoes,Numerex Corp.,3581740829552217,Telecommunications Equipment,Never,não,baixo,marca1,48,true,true,ruim,itaú,pendente,8986.52,investimentos,desativada,19
13,Bethanne Ricardou,Bethanne,Ricardou,Female,823-37-2272,36,58028 CEDEX,Nevers,Bourgogne,7 American Ash Road,true,Environmental Tech,Malay,pessoa física,bricardouc@4shared.com,bricardouc@pcworld.com,9052.56,710,produto2,Yezz,Yezz Andy A4,Pink,2013,Android 4.1,Steel,510057664-2,5537.44,11/16/2020,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius,Suzuki,Euro,Grocery,Western Alliance Bancorporation,3555324058284990,Major Banks,Daily,não,baixo,marca2,14,false,true,bom,inter,pendente,8995.59,investimentos,desativada,18
14,Alyosha Ennever,Alyosha,Ennever,Male,754-03-7709,29,06013,Pueblo Nuevo Viñas,,8 Mockingbird Hill,true,Clinical Specialist,Finnish,pessoa física,aenneverd@imgur.com,aenneverd@aol.com,7952.77,550,produto2,Honor,Honor 9 Lite,Aquamarine,2017,"Android 8.0, up to Android 9.0, EMUI 9.1",Stone,593685184-2,4668.95,9/25/2020,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,Buick,Quetzal,Outdoors,"ICF International, Inc.",3541742316106068,Professional Services,Daily,não,alto,marca3,0,false,true,regular,santander,pendente,3094.31,empréstimos,ativa,53
15,Elbertina Daniel,Elbertina,Daniel,Female,579-73-1143,51,,Cikou,,17864 Ridgeview Parkway,true,Operator,Hiri Motu,pessoa física,edaniele@timesonline.co.uk,edaniele@apple.com,-6054.58,806,produto2,Spice,Spice Mi-354 Smartflo Space,Khaki,2013,Android 4.2,Steel,788625217-9,4944.92,7/17/2020,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel,Audi,Yuan Renminbi,Computers,"McCormick & Company, Incorporated",3586506777378391,Packaged Foods,Daily,sim,alto,marca3,30,false,true,ruim,caixa,recusado,4407.6,consórcios,ativa,44
16,Grazia Crosgrove,Grazia,Crosgrove,Female,846-47-5602,28,14908 CEDEX 9,Caen,Basse-Normandie,9 Kedzie Park,true,Sales Associate,Tsonga,pessoa física,gcrosgrovef@unblog.fr,gcrosgrovef@reuters.com,-2397.88,515,produto3,Dell,Dell XCD35,Purple,2010,Android 2.1,Steel,370309929-1,6624.89,9/20/2022,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,Alfa Romeo,Euro,Computers,SBA Communications Corporation,3555479615266565,Real Estate Investment Trusts,Often,não,alto,marca2,85,true,false,ruim,bradesco,aceito,2076.32,consórcios,desativada,20
17,Karry Causton,Karry,Causton,Female,764-85-1267,35,,Bogi,,5055 Summer Ridge Place,true,Analyst Programmer,Kurdish,pessoa jurídica,kcaustong@seesaa.net,kcaustong@bloglovin.com,3169.23,817,produto3,Allview,Allview P5 eMagic,Fuscia,2016,Android 5.1,Wood,910523459-X,2829.78,1/19/2021,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,Scion,Rupiah,Grocery,"Great Western Bancorp, Inc.",3529187350846821,Major Banks,Once,não,baixo,marca2,14,false,false,grave,bnb,aceito,6292.39,empréstimos,ativa,4
18,Gawain Jedrzejczak,Gawain,Jedrzejczak,Male,189-69-5910,44,,Weixin,,7054 Washington Place,true,Pharmacist,Gujarati,pessoa física,gjedrzejczakh@ehow.com,gjedrzejczakh@netlog.com,2529.4,495,produto1,Lenovo,Lenovo Tab3 8 Plus,Goldenrod,2017,Android 6.0.1,Granite,649094629-7,309.98,3/12/2021,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,Nissan,Yuan Renminbi,Garden,"First Midwest Bancorp, Inc.",3569464285189630,Major Banks,Never,sim,baixo,marca3,56,false,true,ruim,caixa,aceito,7703.53,empréstimos,desativada,7
19,Emmit Dinsmore,Emmit,Dinsmore,Male,356-71-4065,69,9406,Marbel,,08 Logan Court,false,Electrical Engineer,Catalan,pessoa física,edinsmorei@buzzfeed.com,edinsmorei@bluehost.com,2479.27,336,produto2,LG,LG X venture,Teal,2017,"Android 7.0, LG UX 5",Granite,530019023-3,4531.77,5/18/2021,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,Saturn,Peso,Shoes,Timken Steel Corporation,3533768235620277,Steel/Iron Ore,Weekly,sim,baixo,marca2,89,false,true,grave,caixa,recusado,2986.15,empréstimos,ativa,4
20,Krista Idale,Krista,Idale,Female,269-87-4414,54,,Yeosu,,3 Merrick Drive,false,Staff Accountant IV,Filipino,pessoa jurídica,kidalej@thetimes.co.uk,kidalej@live.com,3466.87,647,produto3,Infinix,Infinix Zero 4 Plus,Green,2017,Android 6.0,Glass,916797274-8,798.54,7/3/2021,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,Toyota,Won,Industrial,Gladstone Land Corporation,3584844176351715,Real Estate Investment Trusts,Often,não,alto,marca2,40,false,false,ruim,itaú,recusado,6563.92,financiamentos,desativada,45
21,Shane Philbrook,Shane,Philbrook,Female,518-06-1336,57,,Quilmaná,,15 Hollow Ridge Pass,false,Recruiting Manager,Georgian,pessoa jurídica,sphilbrookk@ucoz.ru,sphilbrookk@huffingtonpost.com,-384.09,764,produto1,Motorola,Motorola EX212,Violet,2011,Feature phone,Vinyl,344608672-2,137.66,11/13/2021,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,Volkswagen,Sol,Sports,"QuinStreet, Inc.",3547163907900781,Business Services,Never,não,alto,marca3,78,false,true,grave,bradesco,recusado,7811.1,financiamentos,desativada,93
22,Karlis Sidlow,Karlis,Sidlow,Male,189-98-8652,22,863-2503,Shiki,,076 Shasta Street,true,Operator,Bosnian,pessoa física,ksidlowl@webs.com,ksidlowl@google.com,-9606.89,492,produto3,Wiko,Wiko Ridge 4G,Turquoise,2015,Android 4.4.4,Stone,783888290-7,666.49,1/29/2022,purus phasellus in felis donec semper sapien a libero nam,Buick,Yen,Jewelry,Centene Corporation,5048379429801948,Medical Specialities,Once,não,alto,marca1,28,false,false,ruim,bradesco,aceito,1073.81,investimentos,desativada,84
23,Earle Ohrtmann,Earle,Ohrtmann,Non-binary,161-55-1346,72,,Mojokerto,,217 Blue Bill Park Circle,false,Project Manager,Belarusian,pessoa jurídica,eohrtmannm@ft.com,eohrtmannm@parallels.com,-5321.73,782,produto3,HTC,HTC Desire,Pink,2010,"Android 2.1, up to 2.2, Sense UI",Rubber,865550464-5,3285.28,6/8/2021,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,Volkswagen,Rupiah,Tools,"RealPage, Inc.",0604659376069160,Computer Software: Prepackaged Software,Never,sim,médio,marca2,49,false,true,grave,bb,aceito,3848.6,financiamentos,desativada,34
24,Brittan Passfield,Brittan,Passfield,Female,869-99-1002,27,,Citarik,,23 Sloan Park,true,Health Coach I,Belarusian,pessoa física,bpassfieldn@uiuc.edu,bpassfieldn@over-blog.com,-3150.42,386,produto1,Celkon,Celkon CT-910+,Maroon,2013,Android 4.1,Plastic,381576990-6,1657.6,7/15/2020,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,Lincoln,Rupiah,Home,NBT Bancorp Inc.,4041591673140,Major Banks,Yearly,não,baixo,marca2,23,false,false,grave,santander,recusado,8557.13,financiamentos,ativa,43
25,Linn Chuter,Linn,Chuter,Non-binary,469-36-8322,23,,Nacaome,,37345 Loftsgordon Park,false,Research Nurse,Greek,pessoa jurídica,lchutero@wikimedia.org,lchutero@shutterfly.com,-6366.14,457,produto1,Motorola,Motorola C168,Violet,2005,Feature phone,Stone,674880372-1,5142.31,12/30/2022,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,Mazda,Lempira,Games,Seaspan Corporation,5602244939916024,Marine Transportation,Seldom,não,médio,marca1,75,true,true,bom,santander,recusado,4798.35,financiamentos,desativada,27
26,Anstice Rumsey,Anstice,Rumsey,Female,813-52-6084,78,,Sremska Mitrovica,,835 Sugar Center,true,GIS Technical Architect,Northern Sotho,pessoa física,arumseyp@blogspot.com,arumseyp@barnesandnoble.com,-2007.78,396,produto3,Huawei,Huawei Enjoy 6s,Blue,2017,"Android 6.0, EMUI 4.1",Plastic,347935437-8,656.62,6/2/2021,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,Honda,Dinar,Garden,Petroquest Energy Inc,3557890643308435,Oil & Gas Production,Weekly,não,baixo,marca3,65,true,true,grave,santander,pendente,7828.69,investimentos,ativa,59
27,Dukie Llewellyn,Dukie,Llewellyn,Male,556-38-3012,40,,Fenghua,,84999 Vernon Plaza,false,Programmer I,Greek,pessoa física,dllewellynq@boston.com,dllewellynq@sina.com.cn,105.65,351,produto2,Spice,Spice M-6868N FLO ME,Red,2012,Feature phone,Granite,623309045-8,4799.14,2/22/2022,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,Rambler,Yuan Renminbi,Kids,"Colony NorthStar, Inc.",4026480180265965,Real Estate Investment Trusts,Never,não,baixo,marca2,64,true,true,grave,itaú,recusado,1772.78,consórcios,desativada,56
28,Malachi cornhill,Malachi,cornhill,Male,552-62-6495,65,,Pasirpengarayan,,0789 Sullivan Point,true,Graphic Designer,Persian,pessoa jurídica,mcornhillr@homestead.com,mcornhillr@domainmarket.com,-8617.0,792,produto3,alcatel,alcatel OT-C701,Goldenrod,2007,Feature phone,Aluminum,354659851-2,8746.3,10/11/2021,amet justo morbi ut odio cras mi pede malesuada in imperdiet,Mitsubishi,Rupiah,Shoes,Macquarie Global Infrastructure Total Return Fund Inc.,5020199516912180,n/a,Yearly,não,médio,marca1,69,false,false,grave,caixa,recusado,1314.45,empréstimos,desativada,97
29,Sharyl Aurelius,Sharyl,Aurelius,Female,354-79-8014,78,15385-000,Ilha Solteira,,488 Lawn Point,true,Civil Engineer,Haitian Creole,pessoa física,saureliuss@oracle.com,saureliuss@auda.org.au,7948.53,328,produto1,Motorola,Motorola DROID 3,Orange,2011,"Android 2.3, not up to 4.1",Vinyl,347504711-X,7878.6,11/4/2022,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,Ford,Real,Shoes,"Copart, Inc.",3565398768062902,Automotive Aftermarket,Seldom,sim,baixo,marca2,25,false,false,bom,bnb,aceito,2535.26,investimentos,ativa,97
30,Nikos Lukes,Nikos,Lukes,Male,734-73-6674,22,,Qinhong,,25833 Del Mar Trail,true,Sales Associate,Dzongkha,pessoa física,nlukest@edublogs.org,nlukest@ucoz.ru,3617.26,453,produto2,Pantech,Pantech SKY Izar IM-A630K,Purple,2010,Android 2.1,Glass,569510088-7,7979.33,6/11/2021,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,Infiniti,Yuan Renminbi,Tools,"Cytokinetics, Incorporated",6382821493389096,Major Pharmaceuticals,Daily,não,baixo,marca2,35,false,true,grave,caixa,pendente,3845.92,financiamentos,desativada,89
31,Arte Dye,Arte,Dye,Male,282-53-1300,64,746 40,Bålsta,Uppsala,37433 Hermina Plaza,true,Media Manager II,Guaraní,pessoa jurídica,adyeu@printfriendly.com,adyeu@canalblog.com,-871.98,768,produto3,LG,LG G Pad 8.3 LTE,Khaki,2014,"Android 4.2.2, up to 5.0",Brass,487577064-2,3659.95,1/12/2020,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,Ford,Krona,Clothing,"Daktronics, Inc.",342410112214687,Miscellaneous manufacturing industries,Daily,sim,baixo,marca1,69,false,true,ruim,caixa,recusado,545.64,empréstimos,ativa,16
32,Dino Trytsman,Dino,Trytsman,Male,471-98-4194,75,39200-000,Corinto,,38 Northview Street,false,Account Representative I,Dutch,pessoa física,dtrytsmanv@eepurl.com,dtrytsmanv@samsung.com,5168.08,488,produto2,Samsung,Samsung Galaxy Premier I9260,Fuscia,2013,Android 4.1,Stone,896264275-1,8999.91,3/15/2021,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim,Buick,Real,Books,Packaging Corporation of America,3587571409017469,Containers/Packaging,Often,sim,médio,marca1,22,false,false,regular,bnb,aceito,82.75,financiamentos,ativa,2
33,Glendon Stichel,Glendon,Stichel,Male,441-36-8254,61,9023,Naawan,,96 Morningstar Trail,false,Registered Nurse,Guaraní,pessoa jurídica,gstichelw@cnn.com,gstichelw@home.pl,4290.72,376,produto3,i-mate,i-mate JAQ3,Orange,2006,Microsoft Windows Mobile 5.0 PocketPC,Glass,856414440-9,9672.66,1/15/2021,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,Lexus,Peso,Toys,"Neuralstem, Inc.",560221523651715150,Biotechnology: Biological Products (No Diagnostic Substances),Weekly,sim,baixo,marca3,27,false,true,bom,bb,recusado,9350.39,investimentos,desativada,4
34,Vevay Etridge,Vevay,Etridge,Female,718-61-6803,73,416102,Pavshino,,523 Bellgrove Pass,false,Web Designer I,Punjabi,pessoa jurídica,vetridgex@elpais.com,vetridgex@yolasite.com,9266.4,379,produto2,ZTE,ZTE Blade V Plus,Puce,2016,Android 5.1.1,Plexiglass,372886889-2,3868.34,10/6/2021,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,Chevrolet,Ruble,Tools,"Microvision, Inc.",4844415978285429,Industrial Machinery/Components,Once,sim,baixo,marca2,14,true,false,ruim,santander,pendente,9029.7,consórcios,desativada,48
35,Gerta Dunks,Gerta,Dunks,Female,182-14-4922,55,,Ntobo,,09 Bartelt Parkway,false,Help Desk Technician,Tok Pisin,pessoa física,gdunksy@china.com.cn,gdunksy@cisco.com,-4990.37,772,produto1,Celkon,Celkon Q452,Khaki,2015,Android 4.4.2,Brass,535856119-6,9830.34,12/5/2020,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,Acura,Rupiah,Industrial,The Cheesecake Factory Incorporated,3553717687519102,Restaurants,Yearly,sim,médio,marca2,12,true,false,ruim,santander,recusado,8262.62,consórcios,desativada,92
36,Shelbi Leidl,Shelbi,Leidl,Female,800-19-4555,38,,Mobaye,,452 Melby Junction,true,Assistant Manager,Portuguese,pessoa física,sleidlz@google.de,sleidlz@weebly.com,-5105.04,337,produto2,BLU,BLU Studio 5.0 S,Violet,2013,Android 4.1.2,Brass,920822098-2,7859.12,7/3/2021,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,Pontiac,Franc,Games,Nuveen Select Tax Free Income Portfolio,56022139432346593,n/a,Yearly,sim,médio,marca3,17,true,true,bom,bnb,pendente,3498.98,empréstimos,ativa,33
37,Demetris Gorgl,Demetris,Gorgl,Female,260-07-8007,53,,Yuejin,,33 Lotheville Parkway,true,Safety Technician II,Macedonian,pessoa jurídica,dgorgl10@jalbum.net,dgorgl10@skyrock.com,-9561.72,530,produto1,LG,LG Leon,Crimson,2015,Android 5.0.1,Stone,450946753-2,5318.9,7/7/2021,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,Chevrolet,Yuan Renminbi,Home,Brightcove Inc.,201661941585420,EDP Services,Seldom,sim,baixo,marca1,14,true,true,bom,caixa,pendente,7073.09,investimentos,desativada,82
38,Seth Creenan,Seth,Creenan,Polygender,576-98-2597,26,1236,Trzin,,59 Stang Terrace,false,Database Administrator I,Ndebele,pessoa jurídica,screenan11@nyu.edu,screenan11@sakura.ne.jp,-997.55,725,produto3,Huawei,Huawei Y300II,Blue,2014,Firefox OS,Steel,399541393-5,6709.73,5/19/2020,sapien non mi integer ac neque duis bibendum morbi non,Ford,Euro,Computers,FIRST REPUBLIC BANK,3543410649177143,n/a,Yearly,não,alto,marca3,57,true,false,regular,inter,pendente,7239.91,investimentos,desativada,36
39,Ky Westhofer,Ky,Westhofer,Male,341-14-0052,25,50140,Khao Khitchakut,,5 David Center,true,Clinical Specialist,Nepali,pessoa física,kwesthofer12@soundcloud.com,kwesthofer12@digg.com,3868.37,450,produto1,Motorola,Motorola EX201,Pink,2010,Feature phone,Wood,030427797-5,1246.94,1/4/2021,nunc proin at turpis a pede posuere nonummy integer non velit donec diam,Chevrolet,Baht,Computers,Vanguard Long-Term Corporate Bond ETF,374288022050446,n/a,Daily,sim,médio,marca1,83,false,false,regular,itaú,recusado,722.83,empréstimos,ativa,14
40,Lydie Garretson,Lydie,Garretson,Female,372-64-1112,30,,Zhujiang,,71695 Cherokee Hill,false,Electrical Engineer,Polish,pessoa física,lgarretson13@surveymonkey.com,lgarretson13@livejournal.com,3024.11,570,produto1,Nokia,Nokia 6030,Goldenrod,2005,Feature phone,Brass,974985475-6,6408.87,5/28/2022,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere,Lincoln,Yuan Renminbi,Tools,"J. W. Mays, Inc.",5893428084691629530,Building operators,Often,não,médio,marca2,97,false,false,bom,caixa,recusado,39.0,financiamentos,desativada,91
41,Robina Cavolini,Robina,Cavolini,Female,724-27-5517,81,07522,Paterson,New Jersey,1671 Miller Circle,false,Computer Systems Analyst I,Tamil,pessoa física,rcavolini14@vk.com,rcavolini14@nhs.uk,8661.93,703,produto2,Samsung,Samsung Galaxy A5 (2017),Red,2017,"Android 6.0.1, up to Android 8.0",Plexiglass,070536725-8,5243.8,9/10/2021,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,GMC,Dollar,Automotive,Yulong Eco-Materials Limited,4844674653336705,Building Materials,Seldom,não,médio,marca2,83,false,false,ruim,santander,aceito,6722.99,consórcios,ativa,46
42,Rosalia Kinnon,Rosalia,Kinnon,Female,311-13-8171,42,13298 CEDEX 20,Marseille,Provence-Alpes-Côte d'Azur,9 Dakota Circle,false,Software Test Engineer IV,Telugu,pessoa jurídica,rkinnon15@edublogs.org,rkinnon15@hud.gov,-1090.0,341,produto1,Apple,Apple iPhone 6 Plus,Pink,2014,"iOS 8, up to iOS 12.4.6",Steel,718235049-1,3412.78,3/19/2020,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,Kia,Euro,Automotive,"Connecture, Inc.",3542658647224181,Computer Software: Prepackaged Software,Monthly,sim,baixo,marca2,10,true,true,regular,inter,aceito,5700.78,investimentos,ativa,80
43,Sigmund Dallon,Sigmund,Dallon,Male,169-75-8359,36,,Aībak,,21865 Del Mar Drive,true,Dental Hygienist,Kashmiri,pessoa jurídica,sdallon16@liveinternet.ru,sdallon16@comcast.net,1436.25,446,produto1,Amoi,Amoi A211,Red,2006,Feature phone,Aluminum,277509297-7,8753.71,2/25/2022,vulputate justo in blandit ultrices enim lorem ipsum dolor sit,Dodge,Afghani,Kids,Fortress Investment Group LLC,340094140269848,Investment Managers,Yearly,sim,baixo,marca1,9,false,true,regular,inter,recusado,1105.97,financiamentos,desativada,49
