id,nome,marca,modelo,os,device_date,barcode,estoque,preço,preço_mercado,data,credit_card,code,moeda
74,Isis Shimony,HTC,HTC 10 evo,Android 7.0,2016,50436-0262,"HV Bancorp, Inc.",$0.86,$31.4M,1/28/2023,3550743369783827,IRR,Rial
75,Arlina Blackway,NEC,NEC N908,Feature phone,2006,16129-003,ProShares UltraShort Nasdaq Biotechnology,$3.93,$52.03M,8/9/2023,5385337529048456,CNY,Yuan Renminbi
76,Kerrie Weed,LG,LG GM730 Eigen,Microsoft Windows Mobile 6.1 Professional,2009,12546-191,"Innophos Holdings, Inc.",$7.03,$854.42M,3/17/2022,30374689332214,PHP,Peso
77,Dyann Gauthorpp,Telit,Telit t130,Feature phone,2006,75983-003,The GDL Fund,$9.79,$186.14M,9/22/2023,3589100417965416,CAD,Dollar
78,Kriste Meharry,ZTE,ZTE Blade V9 Vita,Android 8.1,2018,35356-702,First Trust NASDAQ-100- Technology Index Fund,$1.59,$2.14B,8/12/2022,0604801838485211844,JPY,Yen
79,Harriett Oldfield,Innostream,Innostream INNO 55,Feature phone,2004,0440-1866,Fifth Third Bancorp,$7.54,$19.11B,4/8/2023,3535558854538282,IDR,Rupiah
80,Erasmus Hemmingway,Gionee,Gionee S6,"Android 5.1.1, Amigo 3.1",2015,54868-6239,Kayne Anderson MLP Investment Company,$6.32,n/a,6/12/2022,5602223534587581106,CNY,Yuan Renminbi
81,Marney Hrus,Celkon,Celkon A87,Android 2.3.6,2013,49035-515,"FibroGen, Inc",$8.21,$2.08B,7/7/2022,3560267415285346,BRL,Real
82,Pierette Newsham,Samsung,Samsung Galaxy Tab 7.7 LTE I815,Android 3.2,2012,57955-0011,"Simpson Manufacturing Company, Inc.",$7.69,$2.08B,7/12/2022,337941241931632,JPY,Yen
83,Gaye Pipet,Apple,Apple Watch Edition Series 5,"watchOS 6.0, up to 7.6",2019,36987-2979,"Charles River Laboratories International, Inc.",$4.91,$4.56B,4/26/2021,3546649575762124,CNY,Yuan Renminbi
84,Oralie Geal,Sony,Sony Ericsson K500,Feature phone,2004,0944-2960,"Gabelli Equity Trust, Inc. (The)",$8.61,n/a,5/28/2021,337941713275302,CNY,Yuan Renminbi
85,Clemente Starsmore,HP,HP iPAQ h6315,Microsoft Windows Mobile 2003 Poc&hellip;,2004,49999-328,"First Interstate BancSystem, Inc.",$6.55,$2.13B,9/24/2021,5245957116235677,PHP,Peso
86,Doe Lisett,Lenovo,Lenovo A269i,Android 2.3,2013,62756-310,Western Asset Investment Grade Defined Opportunity Trust Inc.,$0.71,$225.71M,1/11/2020,5552106411110865,CAD,Dollar
87,Kleon Duddy,Sagem,Sagem MY X-4,Feature phone,2004,58118-5767,"ConforMIS, Inc.",$8.95,$180.66M,9/4/2021,6759519641184550,PHP,Peso
88,Malcolm Wellbelove,alcatel,alcatel OT-993,Android 4.0,2012,53808-0942,"China Natural Resources, Inc.",$2.37,$51.07M,5/2/2021,3587636958341303,PLN,Zloty
89,Jeramie Readhead,Wiko,Wiko Highway Pure 4G,Android 4.4.4,2015,54868-5953,Dover Downs Gaming & Entertainment Inc,$8.92,$36.8M,1/6/2020,6304193373382253514,IRR,Rial
90,Eustacia Galbreth,Honor,Honor 3C 4G,"Android 4.4.2, EMUI 2.3",2014,10888-7136,"Syndax Pharmaceuticals, Inc.",$4.61,$204.47M,9/9/2020,3528077905843293,IDR,Rupiah
91,Gilligan Matthias,Sony,Sony Ericsson Mix Walkman,Feature phone,2011,0009-0013,"CYS Investments, Inc.",$6.80,n/a,8/23/2020,374622915210958,PLN,Zloty
92,Elliot Aarons,alcatel,alcatel Pop C1,Android 4.2,2014,68479-700,Diebold Nixdorf Incorporated,$7.51,$2.01B,9/30/2021,50184548489456120,CNY,Yuan Renminbi
93,Adora Rieflin,Realme,Realme 6,"Android 10, Realme UI",2020,63629-1470,Heritage Commerce Corp,$3.16,$520.01M,3/30/2023,5893019136687992,CNY,Yuan Renminbi
94,Gayel Bullene,Allview,Allview X3 Soul mini,Android 5.1,2016,0264-3205,"Amplify Snack Brands, inc.",$3.40,$686.2M,8/30/2023,30227035208787,PHP,Peso
95,Obadias Trobridge,verykool,verykool i605,Feature phone,2012,42787-101,"Aviat Networks, Inc.",$9.51,$93.71M,6/20/2022,201851747864851,RUB,Ruble
96,Aeriela Rosenstock,Huawei,Huawei Ascend P1,"Android 4.0, up to 4.2",2012,68151-1021,VictoryShares US Small Cap Volatility Wtd ETF,$7.31,$2.17B,4/12/2020,6387738022994409,IDR,Rupiah
97,Blanche Stoffels,vivo,vivo Y50,"Android 10, Funtouch 10.0",2020,21695-034,Intellipharmaceutics International Inc.,$2.26,$64.12M,3/30/2023,3580137160279701,BRL,Real
98,Bibby Sparkwell,Nokia,Nokia 2600,Feature phone,2004,49288-0283,"XG Technology, Inc",$3.44,$21.96M,6/10/2022,349908311553873,IDR,Rupiah
99,Adella Wooffitt,Prestigio,Prestigio MultiPad 8.0 HD,Android 4.2,2013,44911-0080,"Commerce Bancshares, Inc.",$2.06,$2.4B,10/26/2022,5602219920202030,CZK,Koruna
100,Johan Matthewson,Samsung,Samsung T429,Feature phone,2007,49893-100,Long Island Iced Tea Corp.,$5.66,$48.2M,7/14/2023,3537605864766839,ILS,Shekel
101,Tarrance Waddingham,Samsung,Samsung Galaxy S6 Duos,"Android 5.0.2, up to Android 8.0, TouchWiz UI",2015,55154-5462,"American Renal Associates Holdings, Inc",$5.96,$569.45M,3/10/2020,374622451463714,USD,Dollar
102,Britt Curran,Sewon,Sewon SGD-102,Feature phone,2004,54868-3559,Mitel Networks Corporation,$0.47,$905.69M,10/3/2023,6709910901462786243,IDR,Rupiah
103,Hadlee Obey,Toshiba,Toshiba Excite Pro,"Android 4.2.1, upgrad&#1072;ble to 4.3",2013,30142-704,Invesco Senior Income Trust,$5.39,$822.77M,5/11/2021,201672797712000,IDR,Rupiah
104,Adriaens Matokhnin,LG,LG G Watch W100,Android Wear OS,2014,0404-0400,"Patterson-UTI Energy, Inc.",$7.51,$4.33B,11/23/2022,3572272795337002,CNY,Yuan Renminbi
105,Lea Lyne,BLU,BLU Touch Book 7.0 Plus,Android 4.0,2012,0264-1101,"Customers Bancorp, Inc",$9.19,n/a,8/27/2020,3533031866833291,IDR,Rupiah
106,Shurlock Kristufek,ZTE,ZTE PF 100,Android 4.0,0,60505-0833,"Summer Infant, Inc.",$6.75,$34.46M,3/4/2024,3562044938340108,USD,Dollar
107,Standford Dublin,ZTE,ZTE Reef,Android 4.1,2013,76472-1161,CNB Financial Corporation,$3.43,$357.95M,11/17/2022,3584202627435639,CNY,Yuan Renminbi
108,Sascha Neising,NEC,NEC N750,Feature phone,2005,61589-6011,BP p.l.c.,$3.02,$117.99B,6/12/2022,3581441544770800,SEK,Krona
109,Tawsha Checkley,Micromax,Micromax Canvas Juice 2 AQ5001,Android 5.0,2015,10956-618,"Financial Institutions, Inc.",$3.37,$443.54M,7/19/2020,5602239212680669,EUR,Euro
110,Monte Tandey,Sony,Sony Ericsson Aino,Feature phone,2009,53329-981,Appian Corporation,$1.68,$1.07B,6/27/2022,201587794424195,CRC,Colon
111,Erinn McCarrell,Sony,Sony Ericsson T200,Feature phone,2002,45963-305,STRATS Trust,$7.01,n/a,4/1/2024,3553632066568572,PYG,Guarani
112,Ilsa Villa,BlackBerry,BlackBerry Torch 9860,BlackBerry OS 7,2011,0597-0046,"NextEra Energy, Inc.",$2.65,n/a,3/26/2021,4844766022829558,CNY,Yuan Renminbi
113,Cathyleen Bonett,Micromax,Micromax Canvas Tab P470,Android 4.4.2,2015,65162-571,"CorEnergy Infrastructure Trust, Inc.",$3.08,n/a,9/2/2020,5610913726295111,JPY,Yen
114,Hermione Bruneau,Acer,Acer Liquid Gallant Duo,Android 4.0.3,2012,48951-2037,TravelCenters of America LLC,$0.73,n/a,10/7/2021,36059290142599,CNY,Yuan Renminbi
115,Pete Idiens,Samsung,Samsung Galaxy Tab Pro 8.4 3G/LTE,"Android 4.4, TouchWiz UI",2014,65162-302,Tecogen Inc.,$2.57,$65.74M,10/4/2021,5595906282920931,CNY,Yuan Renminbi
116,Mayor Stoacley,Acer,Acer Liquid Z320,Android 5.1,2015,54868-4021,"Cisco Systems, Inc.",$9.24,$158.15B,12/12/2022,337941728758961,BGN,Lev
117,Zulema Linstead,Motorola,Motorola A1200,Linux,2005,59050-331,Monroe Capital Corporation,$3.73,$253.51M,3/6/2024,3567248378178267,EUR,Euro
118,Aymer Boatswain,alcatel,alcatel Pop 8,Android 4.2,2014,16590-984,Manulife Financial Corp,$7.94,$36.08B,12/1/2021,30503914282634,EUR,Euro
119,Prisca Treleven,verykool,verykool R800,Android 2.2,2012,0019-9451,"Raymond James Financial, Inc.",$0.67,$11.3B,7/7/2021,3535987873449512,EUR,Euro
120,Cherri Siddon,alcatel,alcatel Mandarina Duck,Feature phone,2007,46122-032,VOXX International Corporation,$0.74,$169.12M,10/22/2020,3575742689918965,NGN,Naira
121,Bennie Gadie,Wiko,Wiko Tommy3 Plus,Android 8.1,2019,54575-350,WisdomTree Japan Hedged SmallCap Equity Fund,$7.43,$134.47M,11/16/2022,343386433528964,PAB,Balboa
122,Sanford McAuslan,BLU,BLU Vivo 4.8 HD,Android 4.2,2014,42507-405,Teekay Corporation,$8.05,$475.29M,8/31/2020,3557803656833108,PLN,Zloty
123,Quent Bevens,HTC,HTC Desire 626G+,Android 4.4.2,2015,53389-561,Saban Capital Acquisition Corp.,$8.01,n/a,2/24/2022,374283304429996,BRL,Real
124,Georges Readmire,Apple,Apple iPhone,"iOS, up to iOS 3.1.3",2007,0574-2103,Preferred Bank,$5.83,$741.96M,5/3/2022,3530012012406458,RUB,Ruble
125,Ambros Bagley,Honor,Honor 9X,"Android 9.0, EMUI 9.1",2019,36987-2573,"REV Group, Inc.",$4.23,$1.92B,1/1/2024,3573757205635408,SEK,Krona
126,Byrle Prettyjohn,ZTE,ZTE Blade V7 Lite,Android 6.0,2016,68462-500,"Telephone and Data Systems, Inc.",$1.94,$3.1B,5/23/2022,50180352321221717,IDR,Rupiah
127,Angelina Hayter,ZTE,ZTE nubia X,"Android 8.1, Nubia UI 6",2018,52544-152,"Lands' End, Inc.",$6.79,$520.48M,7/29/2021,4508201647578387,IDR,Rupiah
128,Keene Beetlestone,Sony,Sony Ericsson Z550,Feature phone,2006,11822-0543,PowerShares BuyBack Achievers Portfolio,$9.77,$1.33B,11/19/2020,3528453959901156,IDR,Rupiah
129,Winna Maliphant,Philips,Philips 162,Feature phone,2005,0904-6052,"CDK Global, Inc.",$6.59,$8.96B,6/1/2023,201527622450517,EUR,Euro
130,Merlina Deniso,Spice,Spice M-5390 Boss Double XL,Feature phone,2012,41163-346,Shopify Inc.,$8.13,$7.35B,2/5/2024,3582663259329659,CNY,Yuan Renminbi
131,Dolores Morphew,ZTE,ZTE FTV Phone,Android 2.2,2011,35356-751,Paragon Commercial Corporation,$8.66,$293.53M,4/28/2023,4917725242847271,UAH,Hryvnia
132,Drud Twinbrow,BQ,BQ Aquaris X2,"Android 8.1, Android One",2018,57344-120,Ares Commercial Real Estate Corporation,$2.26,$394.2M,10/22/2023,561026791626047810,BRL,Real
133,Pace Mayworth,QMobile,QMobile King Kong Max,Android 6.0,2017,44397-020,"Novus Therapeutics, Inc.",$8.80,$1.54M,12/19/2021,201950551323101,EUR,Euro
134,Gene Stichall,LG,LG X power,Android 6.0.1,2016,48102-111,BlackRock Municipal Income Trust,$4.76,$638.92M,3/25/2022,676737553067012901,IDR,Rupiah
135,Marketa Shakle,Sony,Sony Ericsson T230,Feature phone,2003,61543-1774,Vanguard Russell 3000 ETF,$3.76,$333.23M,10/6/2022,4913604608668361,CNY,Yuan Renminbi
136,Karel Sincock,HTC,HTC Pure,Microsoft Windows Mobile 6.5 Professional,2009,76237-191,ObsEva SA,$0.92,$161.49M,2/23/2021,201628184179922,VEF,Bolivar
137,Shay Siddons,ZTE,ZTE Blade,"Android 2.1, up to 2.2",2010,68428-723,"Adverum Biotechnologies, Inc.",$5.09,$117.89M,3/22/2021,3572456180383099,RUB,Ruble
138,Floris Maginot,Philips,Philips X815,Feature phone,2011,42507-333,"Coffee Holding Co., Inc.",$1.62,$25.61M,2/26/2023,3541801975328783,CNY,Yuan Renminbi
139,Clywd Mumby,Xiaomi,Xiaomi Mi Pad 4,"Android 8.1, MIUI 9",2018,75878-002,"CYS Investments, Inc.",$9.43,$1.35B,8/11/2021,3566309028734221,DOP,Peso
140,Joell Tart,Spice,Spice M-5350,Feature phone,2011,76119-5305,E.W. Scripps Company (The),$2.33,$1.53B,7/18/2020,374283289823528,UAH,Hryvnia
141,Nikola Vant,Celkon,Celkon A83,Android 2.3,2012,41520-289,"New America High Income Fund, Inc. (The)",$2.69,$224.11M,7/4/2022,4508826137850233,MYR,Ringgit
142,Leia Greenshields,HTC,HTC One VX,"Android 4.0, Sense UI 4",2012,63629-4971,Protective Life Corporation,$8.43,n/a,9/19/2021,6771246521810039,CNY,Yuan Renminbi
143,Cindi Kisby,Motorola,Motorola Droid Maxx 2,"Android 5.1.1, up to 7.0",2015,0456-2612,Mattersight Corporation,$2.65,$84.98M,11/17/2020,3572717088239893,THB,Baht
144,Andy Crees,Samsung,Samsung Galaxy Core Prime,"Android 4.4.4, up to 5.1.1",2014,43742-0304,BioShares Biotechnology Products Fund,$1.74,$37.14M,6/11/2023,30382507392534,CNY,Yuan Renminbi
145,Bobbi Farrimond,Samsung,Samsung Galaxy A6+ (2018),"Android 8.0, up to Android 9.0, One UI",2018,0280-2610,"Amber Road, Inc.",$2.36,$217.53M,1/18/2022,3544851503457205,ZWL,Dollar
146,Sydelle Roderigo,Razer,Razer Phone 2,"Android 8.1, up to Android 9.0",2018,50580-296,Fifth Street Finance Corp.,$8.36,n/a,3/1/2023,5196896391470998,IDR,Rupiah
147,Claire Siegertsz,Nokia,Nokia 6510,Feature phone,2002,42507-111,Arrow Financial Corporation,$5.83,$442.96M,8/29/2020,30299679793804,CNY,Yuan Renminbi
